url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/service-connector/concept-availability,High availability,High availability for Service Connector,,"Learn about availability zones, zone redundancy, disaster recovery, and cross-region failover for Service Connector.","Service Connector can provide high availability support for all types of applications you run in Azure. This article describes Service Connector high availability features like availability zones, zone redundancy, disaster recovery, and cross-region failover. The goal of the high availability architecture in Service Connector is to guarantee that service connections are up and running at least 99.9% of time. This high availability means you don't have to worry about the effects of maintenance op",2026-03-27T22:21:00.000Z,concept-article,,0.3,False,"High availability overview for Service Connector; summary indicates conceptual description of zones, redundancy, and failover without explicit configuration parameters, limits, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/service-connector/concept-microsoft-entra-roles,Microsoft Entra roles,Microsoft Entra Roles Assigned by Service Connector,Review Microsoft Entra roles assigned by Service Connector,Understand RBAC roles assigned by Service Connector when using a managed identity in Microsoft Azure.,"Service Connector simplifies the process of connecting Azure services together. When you use Service Connector to create a connection, Service Connector configures the authentication between these Azure services. Service Connector uses Azure'srole-based access control (RBAC)authorization system that provides access management to Azure resources. This article provides a summary of the roles assigned by Service Connector by default, and explains how to choose a different role.",2025-09-30T08:00:00.000Z,concept-article,security,0.9,True,"Explains which exact RBAC roles are assigned by default and how to choose different roles; includes specific role names and authorization behavior, which is product-specific security configuration.",unchanged
https://learn.microsoft.com/en-us/azure/service-connector/concept-permission,Permission requirements,Service Connector permission requirements,Understand Service Connector permission requirements in Azure,See the resource permission requirements for creating connections using Service Connector in Azure.,"Service Connector creates connections between Azure services using anon-behalf-of tokens. When you use Service Connector to create connections between Azure services, you must ensure that the necessary permissions are granted. This article outlines the Service Connector permission requirements for various Azure resources.",2026-03-27T22:21:00.000Z,concept-article,security,0.8,True,"Page specifically outlines permission requirements for creating connections between Azure resources, which typically includes concrete RBAC roles and scopes unique to Service Connector usage. This matches the security category’s criteria for product-specific role/permission configuration.",unchanged
https://learn.microsoft.com/en-us/azure/service-connector/concept-region-support,Region support,Service Connector Region Support,Check Service Connector regional support by compute service,"Find which Azure regions support Service Connector for App Service, Azure Functions, Container Apps, AKS, and Azure Spring Apps before creating service connections.","When you connect Cloud services together with Service Connector, the conceptual connection resource is provisioned into the same region as your compute service instance by default. This page shows the region support information.",2025-09-22T11:10:00.000Z,concept-article,deployment,0.7,True,"Region support matrix for Service Connector across App Service, Functions, Container Apps, AKS, and Spring Apps is deployment-specific metadata that changes over time and is not generally known to LLMs; it is effectively a platform support matrix.",unchanged
https://learn.microsoft.com/en-us/azure/service-connector/concept-service-connector-internals,Service Connector internals,Service Connector internals,,"Learn about Service Connector internals, the architecture, the connections and how data is transmitted.",Service Connector is an Azure extension resource provider designed to provide a simple way to create and manage connections between Azure services. Service Connector offers the following features:,2025-09-29T08:00:00.000Z,concept-article,,0.4,False,"Service Connector internals and architecture; conceptual explanation of internals and data flow, not focused on limits, configuration parameters, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/service-connector/faq,FAQ,Service Connector FAQ,Resolve common Azure Service Connector issues,"Read answers to frequently asked questions (FAQ) about Service Connector, including the role of ServiceLinker.",This article answers frequently asked questions about Service Connector.,2025-07-25T17:09:00.000Z,faq,troubleshooting,0.65,True,"FAQ pages for a specific Azure service typically include concrete, product-specific answers such as supported scenarios, specific error messages or codes, limitations of Service Connector vs ServiceLinker, and precise behavioral details that go beyond generic concepts. These map to symptom→cause→solution style guidance, fitting troubleshooting. Even if mixed with conceptual Q&A, the expert value is in the specific behaviors and constraints that an LLM is unlikely to know from training.",updated
https://learn.microsoft.com/en-us/azure/service-connector/how-to-build-connections-with-iac-tools,Build connections with IaC tools,Create service connections using IaC tools,Define Azure Service Connector IaC connection settings,Learn how to create service connections and translate your infrastructure configurations into Infrastructure as Code (IaC) templates to use in CI/CD pipelines.,"Service Connector helps you quickly and easily connect your compute services to target backing services. When you move from getting-started to a production stage, you also need to transition your service connections from manual configurations to Infrastructure as Code (IaC) templates to use in your continuous integration/continuous delivery (CI/CD) pipelines. This article shows how to translate connected Azure services to IaC templates.",2026-04-10T17:11:00.000Z,how-to,configuration,0.68,True,"The article describes how to translate manually created Service Connector connections into IaC templates for CI/CD. This typically includes product-specific resource definitions and configuration parameters (for example, connection resource types, required properties, and their allowed values) that are unique to Azure Service Connector and not just generic IaC usage. While it’s framed as a how-to, the core value is enumerating the specific configuration fields and patterns needed to represent service connections as code, which aligns best with the configuration sub-skill.",unchanged
https://learn.microsoft.com/en-us/azure/service-connector/how-to-get-configurations,Get connection configurations,Get connection configurations added by Service Connector,Retrieve Service Connector-added connection configurations,Get connection configurations added by Service Connector,"Service Connector configures connection information, such as Database connection string, while creating or updating service connections. After service connections are created, you might want to write code to consume these connection configurations in code. This page shows how to get connection configurations added by Service Connector. There are multiple ways to get connection configurations of a service connection. You can get configuration names for specific target service type from the follow",2025-08-20T11:14:00.000Z,how-to,configuration,0.8,True,"Explains how to obtain connection configurations (e.g., connection strings) and configuration names for specific target service types; likely includes environment variable names and patterns, which are configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/service-connector/how-to-integrate-ai-services,Foundry Tools,Connect to Foundry Tools with other Azure services - Service Connector,Integrate Foundry Tools via Azure Service Connector,Learn how to integrate Foundry Tools into your application with Service Connector by using supported authentication methods and clients.,"In this article, we cover the supported authentication methods and clients that you can use to connect your apps to Foundry Tools using Service Connector. For each supported method, we provide sample code and describe the default environment variable names and values obtained when creating the service connection.",2026-03-04T23:27:00.000Z,how-to,integrations,0.78,True,"The article describes supported authentication methods and clients for connecting to Foundry Tools using Service Connector, and explicitly mentions default environment variable names and values created with the connection. These product-specific configuration details and code samples for integrating services match the integrations sub-skill definition.",unchanged
https://learn.microsoft.com/en-us/azure/service-connector/how-to-integrate-app-configuration,Azure App Configuration,Integrate Azure App Configuration with Service Connector,Integrate Azure App Configuration via Service Connector,Use these code samples to integrate Azure App Configuration into your application with Service Connector.,This page shows supported authentication methods and clients. It provides sample code you can use to connect Azure App Configuration to other cloud services using Service Connector. You might be able to connect to App Configuration using other methods. This page also shows default environment variable names and values you get when you create the service connection.,2025-07-25T17:09:00.000Z,how-to,integrations,0.9,True,"Shows supported auth methods, clients, sample code, and default environment variable names/values for App Configuration; matches integration & coding patterns criteria.",unchanged
