url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/chaos-studio/azure-container-instance-details,Accessing container image details,Container image details and instructions on how to pull the image for Azure Chaos Studio - Relay Bridge Host - Azure Chaos Studio,Allowlist Chaos Studio Relay Bridge Host container image,Learn how to pull the container image used by Azure Chaos Studio during virtual network injection,"The following container image is the Relay Bridge Host for Azure Chaos Studio, available from the Microsoft Container Registry. This image is used to facilitate communication between Azure Chaos Studio and target resources when those resources are within private networks. Typically customers look for this image when doing a security review and allow listing the image Chaos Studio uses during virtual network injection. This image is a Bastion host that we use for running an experiment in a custom",2024-10-04T11:05:00.000Z,reference,security,0.8,True,Provides exact container image details from MCR used as a bastion for private networking; used in security reviews and allowlisting—product-specific security artifact.,unchanged
https://learn.microsoft.com/en-us/azure/chaos-studio/chaos-agent-arm-template,Enable and install agent via ARM template,Resource Manager template samples for agents in Chaos Studio - Azure Chaos Studio,Deploy Chaos Agent on VM scale sets with ARM,Sample Azure Resource Manager templates to deploy and configure virtual machine agents in Chaos Studio.,This article includes a sampleAzure Resource Manager templateto deploy and configure theChaos Agenton Azure virtual machine scale sets using a user-assigned managed identity. The sample deploys the Chaos Agent extension with all capabilities enabled on a VM scale set.,2025-03-20T05:32:00.000Z,sample,configuration,0.85,True,ARM template sample for deploying the Chaos Agent extension with capabilities; includes specific extension properties and parameters.,unchanged
https://learn.microsoft.com/en-us/azure/chaos-studio/chaos-agent-concepts,Concepts,Agent Concepts - Azure Chaos Studio,"Understand Chaos Agent networking, identity, and dependencies","Agent Concepts – In-depth concepts for the Chaos Agent, including how it works, network access requirements, identities, and dependencies.","This document provides a deep dive into theChaos Agentwithin Azure Chaos Studio. It explains how the agent works, its network access requirements, dependencies, and security considerations, ensuring that you have the information needed to properly deploy and maintain the agent in your environment.",2025-04-16T11:13:00.000Z,concept-article,security,0.75,True,"Deep dive into agent behavior, network access requirements, identities, and security considerations—product-specific security and connectivity configuration.",unchanged
https://learn.microsoft.com/en-us/azure/chaos-studio/chaos-agent-known-issues,Known issues,Chaos Agent Known Issues - Azure Chaos Studio,Review known issues and workarounds for Chaos Agent,"A list of known issues affecting the Chaos Agent and agent-based faults in Azure Chaos Studio, along with workarounds or mitigation steps.","This document provides a list of known issues encountered with the Chaos Agent in Azure Chaos Studio, along with recommended workarounds or solutions. This list is updated regularly as new issues are identified.",2025-03-18T05:33:00.000Z,troubleshooting-known-issue,troubleshooting,0.8,True,Lists specific known issues for Chaos Agent and provides mitigation steps; effectively a specialized troubleshooting reference.,unchanged
https://learn.microsoft.com/en-us/azure/chaos-studio/chaos-agent-os-support,Supported operating systems,Chaos Agent Version Compatibility - Azure Chaos Studio,Check OS and fault compatibility for Chaos Agent,"Compatibility reference for the Azure Chaos Studio Agent across operating systems, fault differences, and package dependencies.","The following compatibility matrix outlines the officially supported operating systems for the Azure Chaos Studio Agent, along with the minimum supported version and the fault support from our agent fault library. In the fault columns, a check (✓) indicates full support, ""✓ (outbound)"" denotes that only outbound support is provided, and an ""✗"" means the fault isn't supported on that operating system.",2025-12-10T13:05:00.000Z,reference,limits-quotas,0.9,True,"Provides a compatibility matrix with OS versions and per-fault support indicators (✓/✗), which are precise capability limits unique to the agent.",unchanged
https://learn.microsoft.com/en-us/azure/chaos-studio/chaos-agent-overview,Overview,Chaos Agent Overview - Azure Chaos Studio,,"Introduction to the Chaos Agent, its purpose, and how it enables agent-based chaos experiments in Azure Chaos Studio.",,2025-03-10T05:32:00.000Z,concept-article,,0.3,False,High-level introduction to Chaos Agent and its purpose; likely conceptual without detailed matrices or config tables.,unchanged
https://learn.microsoft.com/en-us/azure/chaos-studio/chaos-agent-troubleshooting,Troubleshooting,Troubleshooting Chaos Agent - Azure Chaos Studio,Troubleshoot Azure Chaos Agent installation and health,"Learn how to diagnose and resolve common issues with the Chaos Agent, including installation, network connectivity, and agent health issues.","This page provides a consolidated guide to troubleshooting issues related to the Chaos Agent used in Azure Chaos Studio. Use this guide to diagnose problems during installation, verify network connectivity, interpret agent status messages, and resolve common errors. Note For detailed setup instructions, refer to theInstall and Configure Chaos Agentpage. For network and security details, seePrivate Link and Network Security.",2025-08-19T22:12:00.000Z,troubleshooting-general,troubleshooting,0.95,True,"Dedicated troubleshooting guide with agent status messages, connectivity checks, and resolutions—symptom → diagnosis → solution mappings.",unchanged
https://learn.microsoft.com/en-us/azure/chaos-studio/chaos-agent-uninstall,Uninstall the agent,Uninstalling the Chaos Agent - Azure Chaos Studio,,Instructions for uninstalling the Chaos Agent via the Azure portal and Azure CLI.,This article describes how to remove the Chaos Agent from your virtual machine (VM) or virtual machine scale set.,2025-03-14T22:02:00.000Z,how-to,,0.4,False,Describes how to uninstall the Chaos Agent via portal/CLI; operational instructions without deep configuration or troubleshooting matrices.,unchanged
https://learn.microsoft.com/en-us/azure/chaos-studio/chaos-agent-verify-status,Verify agent status,Verify Azure Chaos Studio Agent Status - Azure Chaos Studio,Verify and interpret Chaos Agent status on VMs,Learn how to verify the status of the Azure Chaos Studio agent on a virtual machine after installation.,"After installing the Chaos Agent on a virtual machine, verify that it's running correctly. This guide walks you through checking the agent's status in the Azure portal, understanding possible states, and troubleshooting potential issues.",2025-03-12T08:00:00.000Z,how-to,troubleshooting,0.8,True,Explains agent status states and how to troubleshoot when not running correctly—symptom to cause/solution guidance specific to Chaos Agent.,unchanged
https://learn.microsoft.com/en-us/azure/chaos-studio/chaos-studio-aks-authentication,Use Microsoft Entra authentication with Chaos Mesh,Use Microsoft Entra authentication with Chaos Studio AKS faults - Azure Chaos Studio,Configure Entra authentication for Chaos Studio AKS faults,Learn about the different ways for Chaos Studio to authenticate with your AKS cluster.,,2025-02-05T08:00:00.000Z,how-to,security,0.8,True,"Describes supported authentication methods between Chaos Studio and AKS using Microsoft Entra, including auth flows and permissions specific to this integration.",unchanged
